g__Bilophila	 f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	g__Bifidobacterium	 f__Bifidobacteriaceae	 o__Bifidobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.261700504318	4.67854722738e-06
g__Klebsiella	 f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	g__Citrobacter	 f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	0.350605556806	4.79464650243e-10
g__Asteroleplasma	 f__Anaeroplasmataceae	 o__Anaeroplasmatales	 c__Mollicutes	 p__Tenericutes	k__	g__Slackia	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.354670793514	2.92102499868e-10
g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.351562618153	4.26936813021e-10
g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.343508283269	1.119964871e-09
g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.349685466818	5.35850298231e-10
g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.283170710855	6.70109994818e-07
g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Oscillospira	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.354062745318	3.14718063287e-10
g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Prevotella	 f__Prevotellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.267890344519	2.71753444517e-06
g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.325334923882	8.93929564375e-09
g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Dehalobacterium	 f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.275145974809	1.41267908478e-06
g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__Victivallaceae	 o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	0.259323342931	5.74322118468e-06
g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.270034918144	2.24413203541e-06
g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.423992625807	1.97083873309e-14
g__LE30	 f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	g__Peptococcus	 f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.290127749728	3.44368937412e-07
g__Collinsella	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.272104286882	1.86276374873e-06
g__Collinsella	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.361340293043	1.27571481326e-10
g__Collinsella	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__Subdoligranulum	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.305653512559	7.30077080409e-08
g__Collinsella	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__Oscillospira	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.281756109313	7.65570280803e-07
g__Collinsella	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__Adlercreutzia	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.275617730639	1.35295721403e-06
g__Collinsella	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__Ruminococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.273397620901	1.65676966139e-06
g__Collinsella	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__Clostridium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.269883236555	2.27484232263e-06
g__Collinsella	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.33952588489	1.78620291883e-09
g__Collinsella	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__Clostridium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.26113789441	4.9120589429e-06
g__Collinsella	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.255187404768	8.16633574832e-06
g__Megasphaera	 f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Slackia	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.266874821368	2.97364473361e-06
g__Holdemania	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.263648038352	3.94924550606e-06
g__Holdemania	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	g__Anaerotruncus	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.313124101539	3.34921035842e-08
g__Holdemania	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	g__Coprococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.259510956731	5.65144157274e-06
g__Holdemania	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	g__Clostridium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.26369552934	3.93289342228e-06
g__Holdemania	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	g__Clostridium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.278922191731	9.97464981017e-07
g__Haemophilus	 f__Pasteurellaceae	 o__Pasteurellales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	g__	 f__Clostridiaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.299517911269	1.36249261042e-07
g__Haemophilus	 f__Pasteurellaceae	 o__Pasteurellales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	g__Veillonella	 f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.417183323066	5.6068995338e-14
g__Akkermansia	 f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.370054089579	4.19739477559e-11
g__Akkermansia	 f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	g__Streptococcus	 f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	0.270666017251	2.12055650474e-06
g__Akkermansia	 f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.262514485777	4.3593495178e-06
g__Akkermansia	 f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.339362595248	1.82046389664e-09
g__Akkermansia	 f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	g__Bifidobacterium	 f__Bifidobacteriaceae	 o__Bifidobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.291228856908	3.09419852033e-07
g__Akkermansia	 f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	g__	 f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.298245141633	1.5479696652e-07
g__Akkermansia	 f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	g__Ruminococcus	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.275986135845	1.30800681149e-06
g__Akkermansia	 f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	g__Coprococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.286562799675	4.85455468751e-07
g__Akkermansia	 f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	g__Dehalobacterium	 f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.268021189571	2.68610995062e-06
g__Akkermansia	 f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	g__	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.33336230682	3.63140168244e-09
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.55551066139	1.5801959082e-25
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__	 o__	 c__	 p__	k__	0.325678214076	8.6060484011e-09
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.604709040894	4.20958376922e-31
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Eubacterium	 f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.292875899752	2.634279853e-07
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__	 o__	 c__Clostridia	 p__Firmicutes	k__	0.31153028696	3.96218055803e-08
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Subdoligranulum	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.352069487486	4.01426788205e-10
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Odoribacter	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.326558811868	7.8052292721e-09
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.544381835166	2.16408934532e-24
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Ruminococcus	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.447226075779	4.63633559125e-16
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.335021330987	3.0046894373e-09
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Oscillospira	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.504388768818	1.22792337411e-20
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Coprococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.441135712548	1.27403635407e-15
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.305604656593	7.33755012868e-08
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Lachnobacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.364135567574	8.96328202423e-11
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Dehalobacterium	 f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.431034314744	6.51917608386e-15
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__Victivallaceae	 o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	0.253744695304	9.22023014154e-06
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Faecalibacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.353021639837	3.5744911767e-10
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.624618813223	1.20562545459e-33
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.430155146597	7.49533964729e-15
g__Streptococcus	 f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.289307408631	3.72839104976e-07
g__Streptococcus	 f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.32199380213	1.29067399745e-08
g__Streptococcus	 f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	g__Oscillospira	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.256271686981	7.45077821895e-06
g__Streptococcus	 f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	g__Coprococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.33165638332	4.4072280093e-09
g__Streptococcus	 f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	g__Faecalibacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.26768836777	2.76673239131e-06
g__Streptococcus	 f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	g__	 f__Turicibacteraceae	 o__Turicibacterales	 c__Bacilli	 p__Firmicutes	k__	0.26920955816	2.41615690339e-06
g__Streptococcus	 f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	g__	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.299959920709	1.30323403203e-07
g__Escherichia	 f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	g__Bacteroides	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.279254087609	9.67176014231e-07
g__Escherichia	 f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	g__Ruminococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.302675931939	9.90029397864e-08
g__Escherichia	 f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	g__Clostridium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.268231465153	2.63633463021e-06
g__Bacteroides	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Ruminococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.26182567994	4.62805133993e-06
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__	 o__	 c__	 p__	k__	-0.304584928315	8.14724400728e-08
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.655339921154	5.98019219597e-38
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Subdoligranulum	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.462713236023	3.23213677199e-17
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.462723744119	3.2261519367e-17
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Ruminococcus	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.520477842044	4.34936408308e-22
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Slackia	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	-0.257619073703	6.64451892148e-06
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Oscillospira	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.600638430031	1.32549051841e-30
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Prevotella	 f__Prevotellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.502208657864	1.90506060767e-20
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Coprococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.471397606871	6.83497617938e-18
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.324943130118	9.33488421028e-09
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Adlercreutzia	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	-0.267703807989	2.76294160992e-06
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Lachnobacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.360889389389	1.35002335628e-10
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Dehalobacterium	 f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.38728064683	4.21732412839e-12
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__Victivallaceae	 o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	-0.254633214251	8.55684777596e-06
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.38313847097	7.41945330477e-12
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Faecalibacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.467132958073	1.4739616954e-17
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.697715973359	8.75387218377e-45
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.413999551704	9.06846687616e-14
g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.290069247732	3.46328107273e-07
g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Subdoligranulum	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.418954868294	4.28128480605e-14
g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Clostridium	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	0.390054633369	2.87608684158e-12
g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Coprococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.466605148943	1.61982917456e-17
g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Lachnospira	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.29414535048	2.32539105245e-07
g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Adlercreutzia	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.313479752339	3.22549142341e-08
g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Ruminococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.29559805117	2.01459691911e-07
g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Roseburia	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.466100980084	1.77235436344e-17
g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.39142983671	2.37580689213e-12
g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Clostridium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.366494100621	6.63700424479e-11
g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Faecalibacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.417647938422	5.22474789021e-14
g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.322204413994	1.26130070927e-08
g__	 f__	 o__	 c__	 p__	k__	g__	 f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.292872187122	2.63523857139e-07
g__	 f__	 o__	 c__	 p__	k__	g__	 f__	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.302568421313	1.00091375219e-07
g__	 f__	 o__	 c__	 p__	k__	g__Faecalibacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.280057786375	8.97436164309e-07
g__	 f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Phascolarctobacterium	 f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.326271384132	8.05834500514e-09
g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__	 o__	 c__Clostridia	 p__Firmicutes	k__	0.285653567951	5.29487595223e-07
g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Subdoligranulum	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.456252134127	9.98153013028e-17
g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Odoribacter	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.323714516132	1.06882761151e-08
g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.470160902315	8.55068540945e-18
g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Ruminococcus	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.548289161715	8.73078079584e-25
